case_id,category,symptom,topology,show_output,expected_fault,osi_layer,concept,severity
001,VLAN,"PC1 in VLAN 10 can ping other VLAN 10 hosts but cannot communicate with any device in VLAN 20","PC1(VLAN10) -> SW1 -> SW2 -> PC2(VLAN20)","show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -----
1    default                          active    Gi0/1
10   SALES                            active    Fa0/1, Fa0/2
20   HR                               active    Fa0/3

show ip route
Gateway of last resort is not set
C 192.168.10.0/24 is directly connected, Vlan10","VLAN 20 exists but inter-VLAN routing is not configured on the router/L3 switch","Layer 2/3","VLAN / Inter-VLAN Routing","High"
002,VLAN,"PC2 cannot communicate with any other device on the network despite being connected to SW1","PC2 -> SW1 -> Router","show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -----
1    default                          active    Gi0/1, Fa0/5
10   SALES                            active    Fa0/1, Fa0/2

show interfaces Fa0/5
FastEthernet0/5 is up, line protocol is up
Switchport: Enabled
Administrative Mode: access
Access Mode VLAN: 1","PC2 is assigned to VLAN 1 (default) instead of VLAN 10",Layer 2,VLAN Assignment,Medium
003,VLAN,"All PCs lose connectivity to the server after a new trunk link was configured between SW1 and SW2","PC1 -> SW1 ==(trunk)== SW2 -> Server","show interfaces trunk
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     on           802.1q         trunking      1

SW1:
show interfaces trunk
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     on           802.1q         trunking      99","Native VLAN mismatch between SW1 (native 1) and SW2 (native 99) causing STP issues and traffic loss",Layer 2,Native VLAN Mismatch,High
004,VLAN,"PC1 in VLAN 30 cannot reach the server even though VLAN 10 and VLAN 20 work fine","PC1(VLAN30) -> SW1 -> Router -> Server","show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -----
1    default                          active
10   SALES                            active    Fa0/1
20   HR                               active    Fa0/2

show interfaces trunk
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     on           802.1q         trunking      1
VLANs allowed on trunk: 1-29,31-4094","VLAN 30 is not allowed on the trunk link",Layer 2,VLAN Not Allowed on Trunk,Critical
005,VLAN,"Intermittent connectivity between devices in different VLANs after SW2 was added to the network","PC1(VLAN10) -> SW1 -> SW2 -> PC2(VLAN20)","show interfaces trunk
SW1 Gi0/1:
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     auto         802.1q         not-trunking  1

SW2 Gi0/1:
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     auto         802.1q         not-trunking  1","Trunk not formed because both sides are set to auto (DTP requires at least one side to be desirable or on)",Layer 2,Trunk Not Configured,Medium
006,Routing,"PC1 can ping its default gateway but cannot reach the 192.168.30.0/24 server network","PC1 -> R1 -> R2 -> Server(192.168.30.0/24)","show ip route (R1)
Gateway of last resort is not set
C 192.168.10.0/24 is directly connected, Gi0/0
C 192.168.20.0/24 is directly connected, Gi0/1

show ip route (R2)
C 192.168.20.0/24 is directly connected, Gi0/0
C 192.168.30.0/24 is directly connected, Gi0/1","Missing static route on R1 to 192.168.30.0/24 via R2 (192.168.20.2)","Layer 3",Static Route Missing,High
007,Routing,"PC1 can reach the server but the server cannot respond back to PC1","PC1(192.168.10.10) -> R1 -> R2 -> Server(192.168.30.10)","show ip route (R1)
C 192.168.10.0/24 is directly connected, Gi0/0
S 192.168.30.0/24 [1/0] via 192.168.20.2

show ip route (R2)
C 192.168.20.0/24 is directly connected, Gi0/0
C 192.168.30.0/24 is directly connected, Gi0/1","R2 has no return route to 192.168.10.0/24 — asymmetric routing causes one-way connectivity","Layer 3",Asymmetric/Missing Return Route,High
008,Routing,"PC1 has no internet access despite a default route being configured","PC1 -> R1 -> ISP Router -> Internet","show ip route (R1)
Gateway of last resort is 10.0.0.2 to network 0.0.0.0
S* 0.0.0.0/0 [1/0] via 10.0.0.2

show ip interface brief
Interface   IP-Address   OK? Method Status    Protocol
Gi0/0       192.168.1.1  YES manual up        up
Gi0/1       10.0.0.1     YES manual up        down","WAN interface Gi0/1 is physically down — default route next-hop is unreachable","Layer 1/3",Interface Down / Default Route Unreachable,High
009,Routing,"OSPF is configured but routes are not being exchanged between R1 and R2","R1 <-> R2 running OSPF area 0","show ip protocols (R1)
Routing Protocol is ospf 1
  Router ID: 1.1.1.1
  Area 0: 192.168.10.0/24

show ip ospf neighbor (R1)
(no neighbors listed)

show ip ospf neighbor (R2)
(no neighbors listed)

show run | section ospf (R2)
router ospf 1
 router-id 2.2.2.2
 network 192.168.20.0 0.0.0.255 area 1","R2 places its interface in OSPF Area 1 while R1 uses Area 0 — area mismatch prevents adjacency","Layer 3",OSPF Area Mismatch,Medium
010,Routing,"PC1 traffic to the internet is being routed in a loop — TTL exceeded errors on traceroute","PC1 -> R1 -> R2","show ip route (R1)
S* 0.0.0.0/0 [1/0] via 192.168.20.2

show ip route (R2)
S* 0.0.0.0/0 [1/0] via 192.168.10.1","R1 and R2 point default routes at each other — routing loop for unknown destinations","Layer 3",Routing Loop / Incorrect Next-Hop,High
